# temp_init,temp_pred
1.528661012649536133e+00,1.773555874824523926e+00
1.915500521659851074e+00,1.998571872711181641e+00
3.009565830230712891e+00,2.855192184448242188e+00
1.794077396392822266e+00,1.670243740081787109e+00
1.918795347213745117e+00,1.752722024917602539e+00
2.025182962417602539e+00,2.042623996734619141e+00
2.567471742630004883e+00,2.471363544464111328e+00
2.516333341598510742e+00,2.898490905761718750e+00
2.640268087387084961e+00,2.429857969284057617e+00
3.041884183883666992e+00,2.852775335311889648e+00
2.450687408447265625e+00,2.741199016571044922e+00
2.473793268203735352e+00,2.615692138671875000e+00
3.131139755249023438e+00,2.960823059082031250e+00
1.516906142234802246e+00,1.674757838249206543e+00
2.211075067520141602e+00,2.275213003158569336e+00
1.875305056571960449e+00,1.901400446891784668e+00
1.664100527763366699e+00,1.668790221214294434e+00
3.040107011795043945e+00,2.999759435653686523e+00
2.781356334686279297e+00,2.549499511718750000e+00
2.291152954101562500e+00,2.089360475540161133e+00
2.526069402694702148e+00,2.727280616760253906e+00
3.135401964187622070e+00,2.977474927902221680e+00
3.084997653961181641e+00,2.957389831542968750e+00
2.105497360229492188e+00,2.006744384765625000e+00
2.108757734298706055e+00,1.793257474899291992e+00
2.758911371231079102e+00,2.802133083343505859e+00
2.059081792831420898e+00,1.978855133056640625e+00
2.945304632186889648e+00,2.975914001464843750e+00
2.326714038848876953e+00,2.284528255462646484e+00
1.914871215820312500e+00,1.734953999519348145e+00
2.844681978225708008e+00,2.671258211135864258e+00
1.738568663597106934e+00,1.652650237083435059e+00
1.710419416427612305e+00,1.682520031929016113e+00
1.554367542266845703e+00,1.653569936752319336e+00
3.094667434692382812e+00,3.058178901672363281e+00
1.554632663726806641e+00,1.654826164245605469e+00
2.803780555725097656e+00,2.577530145645141602e+00
3.184410810470581055e+00,2.713392019271850586e+00
1.884526729583740234e+00,1.931124091148376465e+00
1.536023378372192383e+00,1.635594606399536133e+00
1.908218741416931152e+00,1.884552359580993652e+00
2.638492345809936523e+00,2.750565767288208008e+00
2.073701143264770508e+00,2.077570438385009766e+00
1.794077396392822266e+00,1.938495635986328125e+00
3.088508844375610352e+00,2.744394302368164062e+00
2.862140178680419922e+00,2.939085960388183594e+00
2.143165588378906250e+00,2.230051040649414062e+00
3.128799200057983398e+00,3.025254011154174805e+00
2.524635076522827148e+00,2.774785995483398438e+00
2.139101505279541016e+00,2.009498119354248047e+00
2.019190788269042969e+00,2.061448812484741211e+00
2.854330778121948242e+00,2.667403221130371094e+00
2.830565214157104492e+00,2.702632665634155273e+00
2.017240524291992188e+00,2.181167840957641602e+00
3.088130712509155273e+00,2.800589323043823242e+00
3.097150802612304688e+00,3.065114498138427734e+00
1.563888669013977051e+00,1.828960537910461426e+00
1.597292542457580566e+00,1.667563676834106445e+00
1.631107568740844727e+00,1.867335915565490723e+00
3.084997653961181641e+00,3.121055603027343750e+00
1.704035520553588867e+00,1.682157516479492188e+00
2.831426858901977539e+00,2.982487678527832031e+00
2.545030832290649414e+00,2.872722625732421875e+00
1.693650960922241211e+00,1.769236445426940918e+00
1.728624463081359863e+00,1.644884228706359863e+00
2.257965326309204102e+00,2.379165172576904297e+00
2.986878156661987305e+00,2.937110424041748047e+00
2.570771694183349609e+00,2.574001550674438477e+00
1.858824491500854492e+00,1.981232404708862305e+00
2.205353736877441406e+00,2.396601676940917969e+00
2.276598215103149414e+00,2.187912464141845703e+00
2.628964900970458984e+00,2.421008348464965820e+00
2.352005481719970703e+00,2.822749853134155273e+00
1.989371776580810547e+00,2.081856489181518555e+00
2.355438470840454102e+00,2.363276004791259766e+00
1.924701213836669922e+00,1.835426092147827148e+00
1.688681244850158691e+00,1.780208945274353027e+00
1.638363122940063477e+00,1.699045181274414062e+00
1.812908411026000977e+00,1.742031335830688477e+00
2.639926910400390625e+00,2.738596439361572266e+00
3.076988220214843750e+00,2.853710889816284180e+00
2.920740365982055664e+00,2.790671825408935547e+00
2.432149648666381836e+00,2.675645828247070312e+00
2.617879152297973633e+00,2.786252975463867188e+00
2.998736381530761719e+00,2.958840847015380859e+00
1.688687920570373535e+00,1.652937412261962891e+00
3.097018480300903320e+00,3.000473499298095703e+00
3.052478313446044922e+00,3.112308502197265625e+00
1.916805148124694824e+00,1.938380956649780273e+00
3.153198003768920898e+00,2.939317703247070312e+00
2.496220588684082031e+00,2.571877479553222656e+00
1.582231640815734863e+00,1.671262860298156738e+00
2.569880962371826172e+00,2.569346904754638672e+00
2.726829290390014648e+00,2.738422393798828125e+00
3.126409053802490234e+00,2.998450279235839844e+00
1.767095685005187988e+00,1.998231768608093262e+00
2.807622671127319336e+00,2.557013034820556641e+00
2.160393953323364258e+00,2.131843090057373047e+00
1.915500521659851074e+00,1.854130387306213379e+00
1.792107343673706055e+00,1.925384044647216797e+00
2.450324296951293945e+00,2.784019708633422852e+00
1.588956236839294434e+00,1.638948440551757812e+00
1.989371776580810547e+00,1.919550776481628418e+00
2.227787494659423828e+00,2.273425579071044922e+00
2.049535989761352539e+00,2.208910226821899414e+00
