# temp_init,temp_pred
2.308649301528930664e+00,2.265699386596679688e+00
2.308649301528930664e+00,2.209617614746093750e+00
2.308649301528930664e+00,2.353801250457763672e+00
2.308649301528930664e+00,2.983500957489013672e+00
2.308649301528930664e+00,2.408527851104736328e+00
1.246628522872924805e+00,1.056116342544555664e+00
1.246628522872924805e+00,6.037061214447021484e-01
1.246628522872924805e+00,1.268385052680969238e+00
1.246628522872924805e+00,6.037061214447021484e-01
1.246628522872924805e+00,6.202796697616577148e-01
7.592638134956359863e-01,6.037061214447021484e-01
7.592638134956359863e-01,6.202796697616577148e-01
7.592638134956359863e-01,6.202796697616577148e-01
7.592638134956359863e-01,6.202796697616577148e-01
7.592638134956359863e-01,6.037061214447021484e-01
2.742136955261230469e+00,2.948040962219238281e+00
2.742136955261230469e+00,3.017250061035156250e+00
2.742136955261230469e+00,2.689361333847045898e+00
2.742136955261230469e+00,3.206215381622314453e+00
2.742136955261230469e+00,2.873474597930908203e+00
1.058227300643920898e+00,6.202796697616577148e-01
1.058227300643920898e+00,6.202796697616577148e-01
1.058227300643920898e+00,6.202796697616577148e-01
1.058227300643920898e+00,6.202796697616577148e-01
1.058227300643920898e+00,6.202796697616577148e-01
2.826976299285888672e+00,2.719055414199829102e+00
2.826976299285888672e+00,2.707757949829101562e+00
2.826976299285888672e+00,3.273735523223876953e+00
2.826976299285888672e+00,2.758292675018310547e+00
2.826976299285888672e+00,3.121600627899169922e+00
3.598908424377441406e+00,3.341457843780517578e+00
3.598908424377441406e+00,3.577142238616943359e+00
3.598908424377441406e+00,3.462440490722656250e+00
3.598908424377441406e+00,3.168514728546142578e+00
3.598908424377441406e+00,3.355436325073242188e+00
1.933702826499938965e+00,1.956346750259399414e+00
1.933702826499938965e+00,1.930654406547546387e+00
1.933702826499938965e+00,1.891616463661193848e+00
1.933702826499938965e+00,1.895639657974243164e+00
1.933702826499938965e+00,2.001516819000244141e+00
3.969814300537109375e+00,3.493677139282226562e+00
3.969814300537109375e+00,3.512844085693359375e+00
3.969814300537109375e+00,3.565402984619140625e+00
3.969814300537109375e+00,3.325351238250732422e+00
3.969814300537109375e+00,3.264881134033203125e+00
2.579058170318603516e+00,2.564107418060302734e+00
2.579058170318603516e+00,2.621814012527465820e+00
2.579058170318603516e+00,2.590563774108886719e+00
2.579058170318603516e+00,2.949413299560546875e+00
2.579058170318603516e+00,2.670394897460937500e+00
2.230739593505859375e+00,2.219476699829101562e+00
2.230739593505859375e+00,2.239704608917236328e+00
2.230739593505859375e+00,2.089435815811157227e+00
2.230739593505859375e+00,2.100662708282470703e+00
2.230739593505859375e+00,2.196501731872558594e+00
3.350655794143676758e+00,3.400161266326904297e+00
3.350655794143676758e+00,3.367222309112548828e+00
3.350655794143676758e+00,3.278098583221435547e+00
3.350655794143676758e+00,3.301728725433349609e+00
3.350655794143676758e+00,3.537274837493896484e+00
5.811355113983154297e-01,6.202796697616577148e-01
5.811355113983154297e-01,6.202796697616577148e-01
5.811355113983154297e-01,6.037061214447021484e-01
5.811355113983154297e-01,6.202796697616577148e-01
5.811355113983154297e-01,6.037061214447021484e-01
8.725703954696655273e-01,6.202796697616577148e-01
8.725703954696655273e-01,6.202796697616577148e-01
8.725703954696655273e-01,6.202796697616577148e-01
